client_name,img_src,img_alt,img_width,href
Alliance Residential Company,/img/new-logos/Alliance.jpg,Alliance Residential Company,200,http://www.allresco.com/
Armada Hoffler Construction,/img/new-logos/ArmadaHoffler.png,Armada Hoffler Construction,270,http://armadahofflerconstruction.com/
Bainbridge Companies,/img/new-logos/Bainbridge.png,Bainbridge Companies,215,https://bainbridgecompanies.com/
Balfour Beatty,/img/new-logos/BalfourBeatty.png,Balfour Beatty,200,https://www.balfourbeatty.com/
Barringer Construction,/img/new-logos/Barringer.png,Barringer Construction,245,https://www.barringerconstruction.com/
Baston-Cook Construction,/img/new-logos/Batson-Cook_Logo_Color.png,Baston-Cook Construction,193,http://www.batson-cook.com/
Brasfiled & Gorrie,/img/new-logos/Brasfield_Gorrie.png,Brasfiled & Gorrie,156,https://www.brasfieldgorrie.com/
Carocon,/img/new-logos/Carocon.png,Carocon,212,http://www.carocon.com/
Clancy & Theys Construction Company,/img/new-logos/clancytheys.jpeg,Clancy & Theys Construction Company,180,https://www.clancytheys.com/
Cleveland Construction,/img/new-logos/Cleveland_Construction.png,Cleveland Construction,115,https://www.clevelandconstruction.com/
Concorde Construction,/img/new-logos/concorde.jpg,Concorde Construction,143,http://www.concordeconst.com/
DPR Construction,/img/new-logos/DPR.png,DPR Construction,150,https://www.dpr.com/
Edifice General Contractors,/img/new-logos/edifice.png,Edifice General Contractors,192,https://edificeinc.com/
Edison Foard,/img/new-logos/Edison_Foard.png,Edison Foard,200,http://www.edisonfoard.com/
Frampton Construction,/img/new-logos/Frampton.png,Frampton Construction,180,https://www.frampton.construction/
Gilbane Building Company,/img/new-logos/Gilbane.png,Gilbane Building Company,154,https://www.gilbaneco.com/
Graycor Construction,/img/new-logos/graycor.jpg,Graycor Construction,210,http://www.graycor.com/
Greystar Worldwide,/img/new-logos/Greystar.jpg,Greystar Worldwide,184,https://www.greystar.com/
Harkins Builders,/img/new-logos/Harkins.png,Harkins Builders,144,https://www.harkinsbuilders.com/
Hendrick Construction,/img/new-logos/Hendrick.jpg,Hendrick Construction,115,http://hendrickconstruction.com/
Holder Construction,/img/new-logos/Holder.png,Holder Construction,98,http://www.holderconstruction.com/
JeDunn Construction,/img/new-logos/JeDunn.png,JeDunn Construction,158,http://www.jedunn.com/
Jenison Construction,/img/new-logos/jenison.png,Jenison Construction,193,https://www.jenisonconstruction.com/
JLB Partners,/img/new-logos/JLB.png,JLB Partners,91,http://www.jlbpartners.com/
Katerra Construction,/img/new-logos/Katerra.png,Katerra Construction,206,https://www.katerra.com/
Landmark Builders,/img/new-logos/Landmark_Builders.png,Landmark Builders,215,https://www.landmarkbuilders.com/
Layton Construction Company,/img/new-logos/Layton.jpg,Layton Construction Company,185,http://www.laytonconstruction.com/
LMC a Lennar Company,/img/new-logos/LMC.png,LMC a Lennar Company,140,https://livelmc.com/home/
Meyers & Chapman,/img/new-logos/Meyers_Chapman.png,Meyers & Chapman,178,https://www.myers-chapman.com/
Miles & McClellan Construction,/img/new-logos/Miles_McClellan.png,Miles & McClellan Construction,130,http://mmbuildings.com/
Moriarty Construction,/img/new-logos/Moriarty.png,Moriarty Construction,193,http://www.jm-a.com/
R.J. Leeper Construction,/img/new-logos/RJ_Leeper.png,R.J. Leeper Construction,115,https://www.leeperconstruction.com/
Rodger Builders,/img/new-logos/Rodgers.png,Rodger Builders,178,https://www.rodgersbuilders.com/
Samet Corporation,/img/new-logos/Samet-Corp.jpg,Samet Corporation,192,http://www.sametcorp.com/
Shelco,/img/new-logos/Shelco.gif,Shelco,179,http://www.shelcollc.com/
Shiel Sexton,/img/new-logos/shiel.jpg,Shiel Sexton,93,http://www.shielsexton.com/
Skanska,/img/new-logos/Skanska.png,Skanska,190,https://www.skanska.com/
Swinerton,/img/new-logos/Swinerton.png,Swinerton,170,http://www.swinerton.com/
Thomas Construction Group,/img/new-logos/thomas.jpg,Thomas Construction Group,192,https://thomasconstructiongroup.com/
Trammell Crow Residential,/img/new-logos/Trammell_Crow.png,Trammell Crow Residential,127,https://www.crowholdings.com/tcr
Turner Construction Company,/img/new-logos/Turner.png,Turner Construction Company,124,https://www.turnerconstruction.com/
VA Health,/img/new-logos/vahealth.png,VA Health,196,http://www.va.gov/health/
Vannoy Contruction,/img/new-logos/Vannoy.png,Vannoy Contruction,132,https://www.jrvannoy.com/
Whiting-Turner Contracting Company,/img/new-logos/Whiting_Turner.png,Whiting-Turner Contracting Company,102,http://www.whiting-turner.com/
WIMCO Corporation,/img/new-logos/Wimco.png,WIMCO Corporation,160,https://wimcocorp.com/
Wood Partners,/img/new-logos/Wood_Partners.png,Wood Partners,190,https://www.woodpartners.com/
Yates Construction,/img/new-logos/Yates.png,Yates Construction,168,https://www.wgyates.com/
